provider,model,type,n,pass_at_1,avg_ttft_ms,avg_e2e_ms,tokens_in,tokens_out,total_tokens,cost_usd,cost_per_question
gemini,gemini-2.5-flash,Bingo,20,0.95,14506.7,14506.7,12420,340,12760,0.004576,0.000229
gemini,gemini-2.5-flash,Click_Order,10,0.0,4113.1,4113.1,7870,753,8623,0.004243,0.000424
gemini,gemini-2.5-flash,Connect_Icon,20,0.2,3279.5,3279.5,48124,280,48404,0.015137,0.000757
gemini,gemini-2.5-flash,Coordinates,18,0.722,5541.7,5541.7,42060,252,42312,0.013248,0.000736
gemini,gemini-2.5-flash,Dart_Count,20,0.75,9516.2,9516.2,76846,285,77131,0.023766,0.001188
gemini,gemini-2.5-flash,Dice_Count,11,0.0,6867.0,6867.0,5302,167,5469,0.002008,0.000183
gemini,gemini-2.5-flash,Geometry_Click,15,0.067,5559.3,5559.3,7135,433,7568,0.003223,0.000215
gemini,gemini-2.5-flash,Image_Matching,19,0.632,6075.7,6075.7,35055,266,35321,0.011182,0.000589
gemini,gemini-2.5-flash,Image_Recognition,20,0.8,1917.4,1917.4,51845,521,52366,0.016856,0.000843
gemini,gemini-2.5-flash,Patch_Select,10,0.1,4118.6,4118.6,5849,382,6231,0.00271,0.000271
gemini,gemini-2.5-flash,Path_Finder,10,0.9,30914.8,30914.8,17570,126,17696,0.005586,0.000559
gemini,gemini-2.5-flash,Place_Dot,20,0.0,66344.3,66344.3,10460,490,10950,0.004363,0.000218
gemini,gemini-2.5-flash,Rotation_Match,20,0.15,9889.1,9889.1,14060,308,14368,0.004988,0.000249
gemini,gemini-2.5-flash,Select_Animal,20,1.0,3124.9,3124.9,10266,320,10586,0.00388,0.000194
gemini,gemini-2.5-flash,Unusual_Detection,20,0.65,5582.4,5582.4,11020,365,11385,0.004218,0.000211
gemini,gemini-2.5-flash,Misleading_Click,10,0.5,3162.8,3162.8,4600,290,4890,0.002105,0.000211
gemini,gemini-2.5-flash,Object_Match,20,0.9,8254.6,8254.6,35980,280,36260,0.011494,0.000575
gemini,gemini-2.5-flash,Pick_Area,20,0.1,9891.4,9891.4,8860,580,9440,0.004108,0.000205
